38.672,26.904
52.930,59.863
52.881,63.452
33.203,69.971
52.759,62.280
38.159,33.228
60.449,19.873
39.648,29.541
37.280,52.393
54.565,49.561
52.393,63.232
58.813,49.609
38.428,41.016
39.429,31.812
60.742,49.316
28.613,78.369
56.885,39.429
39.258,31.079
60.498,19.507
38.696,26.074
38.379,32.129
60.840,29.565
40.674,20.947
52.612,63.672
33.203,71.045
63.354,25.000
60.742,33.472
51.440,64.941
54.541,49.390
57.471,49.658
39.868,31.934
63.232,25.098
57.056,36.890
60.498,33.301
56.470,36.987
29.150,78.271
58.105,50.317
57.300,53.711
51.587,65.063
43.701,12.256
39.307,31.030
43.262,12.622
53.467,49.243
52.881,55.176
32.568,70.850
39.844,21.069
59.229,35.693
57.617,48.438
52.832,55.200
37.695,40.942
56.934,54.395
52.539,57.593
32.666,69.824
39.600,31.128
35.889,72.656
57.300,53.467
37.427,33.228
38.550,23.657
62.720,20.972
37.573,32.397
63.086,20.605
62.866,20.703
29.443,35.938
59.448,35.864
58.350,50.928
58.154,48.315
57.837,50.928
60.400,58.936
41.162,17.065
58.081,47.778
58.228,50.781
