41.382,18.408
53.394,54.688
60.889,33.496
38.159,32.129
64.844,25.464
28.955,35.840
59.595,35.596
57.666,53.125
40.942,18.237
58.203,45.264
41.455,14.795
42.090,24.390
38.428,30.835
31.934,70.459
38.794,21.851
57.593,45.435
52.563,59.546
59.106,50.000
39.600,21.118
39.624,31.641
58.740,47.974
58.203,50.684
39.893,20.703
59.790,36.133
36.792,33.179
41.455,14.282
63.159,20.142
57.520,53.613
38.525,31.641
39.307,31.274
38.916,21.167
44.995,7.861
36.719,32.886
59.326,36.108
60.571,33.521
60.571,19.287
57.715,45.459
38.623,23.486
60.303,59.082
63.062,20.093
39.600,21.191
39.575,30.713
60.889,19.336
55.273,61.108
41.821,18.530
37.109,32.886
57.227,37.207
41.992,18.384
40.967,20.776
55.103,60.645
58.740,50.244
37.134,39.893
37.671,31.104
37.207,32.031
57.568,55.298
27.490,77.783
62.915,20.093
57.520,55.127
58.960,50.488
31.787,69.678
37.378,31.543
59.009,47.778
27.539,77.246
59.277,50.317
41.187,16.602
58.008,55.151
58.911,50.146
59.375,50.439
58.496,47.656
59.058,47.754
